,overall,km3_1,km3_2,km3_3,kmk4_1,km4_2,km4_3,km4_4,kmk5_1,km5_2,km5_3,km5_4,km5_5,kmk6_1,km6_2,km6_3,km6_4,km6_5,km6_6,kmk7_1,km7_2,km7_3,km7_4,km7_5,km7_6,km7_7,kmk8_1,km8_2,km8_3,km8_4,km8_5,km8_6,km8_7,km8_8
seg_size,1000.0,571.0,226.0,203.0,202.0,555.0,196.0,47.0,202.0,382.0,222.0,47.0,147.0,203.0,47.0,220.0,104.0,202.0,224.0,204.0,130.0,205.0,59.0,174.0,181.0,47.0,62.0,171.0,127.0,113.0,165.0,47.0,174.0,141.0
seg_pct,1.0,0.571,0.226,0.203,0.202,0.555,0.196,0.047,0.202,0.382,0.222,0.047,0.147,0.203,0.047,0.22,0.104,0.202,0.224,0.204,0.13,0.205,0.059,0.174,0.181,0.047,0.062,0.171,0.127,0.113,0.165,0.047,0.174,0.141
tenure,35.526,25.51663747810858,54.92920353982301,42.07881773399015,41.960396039603964,25.52072072072072,53.28061224489796,51.97872340425532,41.960396039603964,26.782722513089006,29.135135135135137,51.97872340425532,53.795918367346935,42.029556650246306,51.97872340425532,30.822727272727274,53.98076923076923,27.50990099009901,29.459821428571427,42.10294117647059,58.246153846153845,28.37560975609756,49.813559322033896,23.03448275862069,22.972375690607734,51.97872340425532,50.82258064516129,21.5906432748538,45.031496062992126,55.56637168141593,25.21818181818182,51.97872340425532,23.03448275862069,43.0709219858156
age,41.64509999999999,37.150630472854644,54.133097345132754,40.38428571428572,40.20792079207921,36.67027027027027,51.58168367346939,65.12957446808511,40.20792079207921,37.06544502617801,38.33788288288289,65.12957446808511,53.006802721088434,40.275862068965516,65.12957446808511,38.372727272727275,54.61538461538461,37.92079207920792,38.50897321428572,40.416666666666664,47.62307692307692,37.61951219512195,55.52542372881356,37.12643678160919,37.01662983425415,65.12957446808511,55.33870967741935,36.81292397660819,42.118110236220474,46.24778761061947,37.1030303030303,65.12957446808511,37.12643678160919,40.43262411347518
marital,0.495,0.4921190893169877,0.4557522123893805,0.5467980295566502,0.5445544554455446,0.4954954954954955,0.4846938775510204,0.3191489361702128,0.5445544554455446,0.5287958115183246,0.43243243243243246,0.3191489361702128,0.4897959183673469,0.541871921182266,0.3191489361702128,0.4772727272727273,0.5,0.5693069306930693,0.4375,0.5490196078431373,0.5846153846153846,0.44878048780487806,0.4067796610169492,0.5919540229885057,0.40331491712707185,0.3191489361702128,0.41935483870967744,0.39766081871345027,0.5826771653543307,0.5221238938053098,0.4,0.3191489361702128,0.5919540229885057,0.5957446808510638
address,11.52,8.399299474605954,19.013274336283185,11.955665024630543,11.816831683168317,8.23963963963964,17.464285714285715,24.19148936170213,11.816831683168317,8.502617801047121,9.666666666666666,24.19148936170213,17.700680272108844,11.881773399014778,24.19148936170213,9.927272727272728,18.10576923076923,8.470297029702971,9.790178571428571,11.901960784313726,15.738461538461538,9.424390243902439,18.23728813559322,7.9655172413793105,8.370165745856353,24.19148936170213,17.887096774193548,8.087719298245615,12.204724409448819,15.336283185840708,9.193939393939393,24.19148936170213,7.9655172413793105,12.092198581560284
income,73.78569999999998,46.24157618213661,154.8750442477876,60.98522167487685,60.78712871287129,45.347747747747746,176.3867346938775,37.5936170212766,60.78712871287129,48.526178010471206,48.81531531531532,37.5936170212766,206.57006802721085,61.21182266009852,37.5936170212766,55.44090909090909,246.88269230769225,52.806930693069305,49.34375,62.27450980392157,93.7,53.853658536585364,316.5898305084745,52.339080459770116,45.90055248618785,37.5936170212766,309.4806451612902,45.52046783625731,66.62204724409449,87.03539823008849,53.57575757575758,37.5936170212766,52.339080459770116,62.43971631205674
ed,2.671,2.6427320490367774,2.4557522123893807,2.9901477832512313,2.98019801980198,2.6432432432432433,2.5816326530612246,2.0425531914893615,2.98019801980198,2.6858638743455496,2.5765765765765765,2.0425531914893615,2.5510204081632653,2.980295566502463,2.0425531914893615,2.5454545454545454,2.5961538461538463,2.792079207920792,2.5714285714285716,2.9950980392156863,2.6615384615384614,2.5170731707317073,2.711864406779661,2.7758620689655173,2.5359116022099446,2.0425531914893615,2.661290322580645,2.497076023391813,2.874015748031496,2.743362831858407,2.375757575757576,2.0425531914893615,2.7758620689655173,3.0709219858156027
employ,10.951100000000002,6.30122591943958,24.323451327433634,9.142857142857142,9.198019801980198,6.174774774774775,23.342091836734696,23.21382978723404,9.198019801980198,6.701570680628272,7.63063063063063,23.21382978723404,25.496938775510205,9.305418719211822,23.21382978723404,8.463636363636363,27.548557692307693,7.455445544554456,7.758928571428571,9.352941176470589,16.953846153846154,7.770731707317073,29.933050847457626,6.683908045977011,6.773480662983426,23.21382978723404,29.88790322580645,6.614035087719298,11.125984251968504,14.893805309734514,7.793939393939394,23.21382978723404,6.683908045977011,9.439716312056738
retire,0.047,0.014010507880910683,0.168141592920354,0.0049261083743842365,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gender,0.517,0.5026269702276708,0.5353982300884956,0.5369458128078818,0.5346534653465347,0.5045045045045045,0.5051020408163265,0.6382978723404256,0.5346534653465347,0.4790575916230366,0.527027027027027,0.6382978723404256,0.5374149659863946,0.5369458128078818,0.6382978723404256,0.4909090909090909,0.5192307692307693,0.4801980198019802,0.53125,0.5343137254901961,0.5538461538461539,0.47804878048780486,0.6101694915254238,0.46551724137931033,0.5027624309392266,0.6382978723404256,0.6129032258064516,0.49707602339181284,0.4645669291338583,0.5486725663716814,0.5212121212121212,0.6382978723404256,0.46551724137931033,0.5390070921985816
reside,2.323,2.4798598949211907,1.8495575221238938,2.4088669950738915,2.410891089108911,2.499099099099099,1.9489795918367347,1.425531914893617,2.410891089108911,2.5523560209424083,2.274774774774775,1.425531914893617,1.965986394557823,2.4039408866995076,1.425531914893617,2.3863636363636362,1.9615384615384615,2.618811881188119,2.2767857142857144,2.406862745098039,2.223076923076923,2.375609756097561,1.88135593220339,2.7298850574712645,2.226519337016575,1.425531914893617,1.9193548387096775,2.239766081871345,2.7086614173228347,2.150442477876106,2.1515151515151514,1.425531914893617,2.7298850574712645,2.3900709219858154
tollfree,0.474,0.5183887915936952,0.6858407079646017,0.11330049261083744,0.11386138613861387,0.5135135135135135,0.7091836734693877,0.574468085106383,0.11386138613861387,0.49476439790575916,0.5675675675675675,0.574468085106383,0.7414965986394558,0.11822660098522167,0.574468085106383,0.509090909090909,0.7403846153846154,0.5247524752475248,0.5714285714285714,0.11764705882352941,0.8,0.48292682926829267,0.6440677966101694,0.4827586206896552,0.5414364640883977,0.574468085106383,0.6451612903225806,0.5380116959064327,0.47244094488188976,0.7787610619469026,0.43636363636363634,0.574468085106383,0.4827586206896552,0.07801418439716312
equip,0.386,0.38178633975481613,0.25663716814159293,0.541871921182266,0.5396039603960396,0.3891891891891892,0.2755102040816326,0.14893617021276595,0.5396039603960396,0.39528795811518325,0.35135135135135137,0.14893617021276595,0.2789115646258503,0.541871921182266,0.14893617021276595,0.38181818181818183,0.2980769230769231,0.37623762376237624,0.3482142857142857,0.5441176470588235,0.36923076923076925,0.3902439024390244,0.2542372881355932,0.3620689655172414,0.3425414364640884,0.14893617021276595,0.24193548387096775,0.32748538011695905,0.5275590551181102,0.4247787610619469,0.3151515151515151,0.14893617021276595,0.3620689655172414,0.5531914893617021
